"","week","NL","NS","PEI","NB","YT"
"1",2020-03-02,0,0,0,0,0
"2",2020-03-09,0,0,0,5,0
"3",2020-03-16,2,3,0,4,0
"4",2020-03-23,8,0,0,1,0
"5",2020-03-30,0,0,0,0,0
"6",2020-04-06,0,0,0,0,0
"7",2020-04-13,0,0,0,0,0
"8",2020-04-20,0,0,0,0,0
"9",2020-04-27,0,0,0,0,0
"10",2020-05-04,0,0,0,0,0
"11",2020-05-11,0,0,0,0,0
"12",2020-05-18,0,0,0,1,0
"13",2020-05-25,0,2,0,10,0
"14",2020-06-01,0,0,0,5,0
"15",2020-06-08,0,0,0,19,0
"16",2020-06-15,0,0,0,2,0
"17",2020-06-22,0,0,0,0,0
"18",2020-06-29,0,0,3,0,0
"19",2020-07-06,0,0,2,0,0
"20",2020-07-13,0,0,1,1,0
"21",2020-07-20,2,0,0,1,0
"22",2020-07-27,0,0,0,0,0
"23",2020-08-03,0,0,0,0,0
"24",2020-08-10,1,0,0,2,0
"25",2020-08-17,0,3,0,1,0
"26",2020-08-24,0,3,0,0,0
"27",2020-08-31,0,0,0,0,0
"28",2020-09-07,0,0,0,0,0
"29",2020-09-14,0,0,0,0,0
"30",2020-09-21,0,0,0,0,0
"31",2020-09-28,0,0,0,0,0
"32",2020-10-05,4,1,0,42,0
"33",2020-10-12,1,0,0,16,0
"34",2020-10-19,0,0,0,0,0
"35",2020-10-26,0,1,0,2,1
"36",2020-11-02,0,5,0,0,0
"37",2020-11-09,0,7,1,0,0
"38",2020-11-16,10,14,0,0,6
"39",2020-11-23,8,8,0,0,10
"40",2020-11-30,5,5,7,0,0
"41",2020-12-07,0,27,2,10,0
"42",2020-12-14,1,16,0,2,0
"43",2020-12-21,0,11,0,2,0
"44",2020-12-28,0,14,0,1,0
"45",2021-01-04,0,13,0,0,0
"46",2021-01-11,0,12,0,0,0
"47",2021-01-18,1,3,2,0,0
"48",2021-01-25,5,4,0,0,0
"49",2021-02-01,2,1,0,0,0
"50",2021-02-08,0,3,0,0,0
"51",2021-02-15,2,4,0,0,1
"52",2021-02-22,0,16,0,3,0
"53",2021-03-01,7,13,6,3,0
"54",2021-03-08,5,8,1,5,0
"55",2021-03-15,0,11,2,15,0
"56",2021-03-22,1,16,3,33,0
"57",2021-03-29,0,8,4,28,0
"58",2021-04-05,5,9,0,6,0
"59",2021-04-12,2,7,0,8,0
"60",2021-04-19,3,38,0,22,0
"61",2021-04-26,0,0,1,43,0
"62",2021-05-03,9,0,0,18,0
"63",2021-05-10,10,0,2,3,0
"64",2021-05-17,39,0,3,18,0
"65",2021-05-24,35,0,0,17,0
"66",2021-05-31,1,0,0,0,0
"67",2021-06-07,NA,NA,NA,NA,NA
"68",2021-06-14,NA,NA,NA,NA,NA
"69",2021-06-21,NA,NA,NA,NA,NA
