"","report_week","NL_travel","NL_contacts","NL_new_cases","NS_travel","NS_contacts","NS_new_cases","NB_travel","NB_contacts","NB_new_cases","PEI_travel","PEI_contacts","PEI_new_cases","YT_travel","YT_contacts","YT_new_cases","NWT_travel","NWT_contacts","NWT_new_cases"
"1",2020-07-05,1,0,1,2,0,2,1,0,1,0,3,3,0,0,0,0,0,0
"2",2020-07-12,0,0,0,0,0,1,2,0,2,1,2,3,2,0,2,0,0,0
"3",2020-07-19,2,1,3,0,0,0,0,2,2,0,0,0,1,0,1,0,0,0
"4",2020-07-26,0,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"5",2020-08-02,1,0,1,2,0,2,6,0,6,0,0,0,0,0,1,0,0,0
"6",2020-08-09,0,1,1,3,0,3,5,2,8,5,0,5,0,0,0,0,0,0
"7",2020-08-16,0,0,0,0,1,4,3,1,4,3,0,3,0,0,0,0,0,0
"8",2020-08-23,1,0,1,0,5,5,2,0,3,0,0,0,0,0,0,0,0,0
"9",2020-08-30,1,0,1,1,0,2,0,0,1,3,0,3,0,0,0,0,0,0
"10",2020-09-06,1,0,1,0,0,1,1,0,1,8,0,8,0,0,0,0,0,0
"11",2020-09-13,1,0,1,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0
"12",2020-09-20,0,0,0,1,0,1,6,0,6,1,0,1,0,0,0,0,0,0
"13",2020-09-27,4,0,4,2,0,2,1,0,1,1,0,1,0,0,0,0,0,0
"14",2020-10-04,2,4,6,2,1,3,5,28,57,2,0,2,0,0,0,0,0,0
"15",2020-10-11,4,1,5,3,0,3,2,28,47,2,0,2,0,0,0,0,0,0
"16",2020-10-18,2,0,2,5,0,5,0,2,21,1,0,1,2,0,5,1,0,4
"17",2020-10-25,2,0,2,3,1,9,3,1,17,0,0,0,0,1,3,0,1,1
"18",2020-11-01,5,0,5,5,5,16,3,1,10,2,0,2,0,0,0,0,0,0
"19",2020-11-08,5,0,5,2,5,17,3,0,11,1,1,2,0,0,1,1,4,5
"20",2020-11-15,5,8,15,0,10,26,0,0,60,0,0,0,1,6,5,0,0,0
"21",2020-11-22,7,9,17,0,14,112,3,0,57,3,0,4,1,10,16,0,0,0
"22",2020-11-29,5,5,14,2,5,84,2,0,49,1,3,4,0,0,9,0,0,0
"23",2020-12-06,7,1,11,10,23,45,4,10,25,3,6,13,0,0,4,6,0,6
"24",2020-12-13,21,1,22,8,20,34,1,2,19,2,0,2,0,0,1,2,0,3
"25",2020-12-20,4,0,4,2,11,22,7,2,16,3,0,3,0,0,1,0,0,0
"26",2020-12-27,4,0,6,8,14,34,0,1,21,2,0,2,0,0,4,0,0,0
"27",2021-01-03,1,0,2,11,13,29,0,0,154,6,0,6,0,0,6,0,0,0
"28",2021-01-10,3,0,3,14,12,26,0,0,146,2,0,2,0,0,0,0,0,1
"29",2021-01-17,2,1,3,12,3,16,0,0,193,4,2,6,0,0,0,0,1,6
"30",2021-01-24,4,5,10,5,4,10,0,0,126,1,0,1,0,0,0,0,0,0
"31",2021-01-31,4,2,7,3,1,4,0,0,107,2,0,2,0,0,0,0,0,1
"32",2021-02-07,0,0,271,5,3,8,0,0,61,1,0,1,0,0,1,0,0,6
"33",2021-02-14,2,2,215,8,4,16,0,0,22,1,0,1,0,1,1,0,0,4
"34",2021-02-21,2,0,79,6,15,30,2,3,10,2,0,12,0,0,0,0,0,0
"35",2021-02-28,1,7,25,4,13,19,7,2,23,0,4,12,0,0,0,0,0,0
"36",2021-03-07,2,5,7,2,9,12,3,6,12,1,3,4,0,0,0,0,0,0
"37",2021-03-14,2,0,2,3,8,13,4,15,24,3,2,5,0,0,0,0,0,0
"38",2021-03-21,0,1,1,8,19,27,16,28,82,4,3,8,1,0,1,0,0,0
"39",2021-03-28,4,0,5,17,4,23,9,32,70,0,4,4,0,0,1,0,0,0
"40",2021-04-04,2,4,9,16,12,31,15,6,72,2,0,2,0,0,0,0,0,1
"41",2021-04-11,10,3,13,30,6,37,6,9,65,5,0,5,1,0,2,0,0,0
"42",2021-04-18,7,3,14,31,40,190,22,19,69,8,0,8,1,0,4,0,0,5
"43",2021-04-25,23,0,25,0,0,585,9,42,86,5,1,6,0,0,1,0,0,3
"44",2021-05-02,28,8,52,0,0,1179,24,21,63,5,0,5,1,0,1,0,0,48
"45",2021-05-09,40,11,51,0,0,856,9,4,56,3,2,5,1,0,2,0,0,22
"46",2021-05-16,24,18,46,0,0,603,8,16,63,6,3,9,0,0,0,0,0,6
"47",2021-05-23,11,49,72,0,0,317,9,16,76,2,0,2,0,0,0,0,0,0
